,category,timestamp,value_date,logging_payment_timestamp,payment_timestamp,account_number,amount_payment,balance_account,entry_type,payment_type,BIC,reference_code_paymetn,IBAN,counterparty_account_id
0,Tulot,2019-01-01 00:00:00.000000000,2019-01-01,2019-01-01,2019-01-01,1.0,22.09,59.55,0.0,506.0,           ,1.0,1.0,177.0
1,Ruoka_paivittaistavarakauppa,2019-01-01 13:54:23.551401869,2019-01-01,2019-01-02,2019-01-01,1.0,-9.47,50.08,0.0,162.0,           ,1.0,1.0,116.0
2,Ruoka_paivittaistavarakauppa,2019-01-02 03:48:47.102803738,2019-01-02,2019-01-02,2019-01-02,1.0,-16.77,33.31,0.0,162.0,           ,1.0,1.0,137.0
3,Ruoka_paivittaistavarakauppa,2019-01-02 17:43:10.654205607,2019-01-02,2019-01-02,2019-01-02,1.0,-0.89,32.42,0.0,162.0,           ,1.0,1.0,33.0
4,Ruoka_paivittaistavarakauppa,2019-01-03 07:37:34.205607476,2019-01-03,2019-01-03,2019-01-03,1.0,-5.93,26.49,0.0,162.0,           ,1.0,1.0,125.0
5,Liikkuminen,2019-01-03 21:31:57.757009345,2019-01-03,2019-01-03,2019-01-03,1.0,-5.62,20.87,0.0,162.0,           ,1.0,1.0,50.0
6,Ruoka_paivittaistavarakauppa,2019-01-04 01:20:44.859813083,2019-01-04,2019-01-04,2019-01-04,1.0,-0.87,20.0,0.0,162.0,           ,1.0,1.0,137.0
7,Tulot,2019-01-04 11:26:21.308411214,2019-01-04,2019-01-04,2019-01-04,1.0,281.35,301.35,710.0,588.0,           ,0.0,1.0,222.0
8,Kulttuuri_viihde,2019-01-04 15:15:08.411214952,2019-01-04,2019-01-04,2019-01-04,1.0,-3.65,297.7,0.0,162.0,           ,1.0,1.0,38.0
9,Ruoka_paivittaistavarakauppa,2019-01-07 05:09:31.962616821,2019-01-07,2019-01-07,2019-01-07,1.0,-34.13,263.57,0.0,162.0,           ,1.0,1.0,97.0
10,Tulot,2019-01-07 08:58:19.065420559,2019-01-07,2019-01-07,2019-01-07,1.0,5.36,268.93,710.0,588.0,           ,0.0,1.0,222.0
11,Muut,2019-01-07 19:03:55.514018690,2019-01-07,2019-01-07,2019-01-07,1.0,-14.77,254.16,0.0,162.0,           ,1.0,1.0,49.0
12,Muut,2019-01-07 22:52:42.616822428,2019-01-07,2019-01-08,2019-01-07,1.0,-13.58,240.58,0.0,162.0,           ,1.0,1.0,134.0
13,Ruoka_paivittaistavarakauppa,2019-01-08 12:47:06.168224297,2019-01-08,2019-01-08,2019-01-08,1.0,-33.19,207.39,0.0,162.0,           ,1.0,1.0,127.0
14,Tulot,2019-01-10 00:13:27.476635511,2019-01-10,2019-01-10,2019-01-10,1.0,1.05,208.44,710.0,588.0,           ,0.0,1.0,221.0
15,Asuminen,2019-01-10 02:41:29.719626166,2019-01-10,2019-01-10,2019-01-10,1.0,-51.88,156.56,706.0,129.0,NDEAFIHH   ,0.0,0.0,199.0
16,Tulot,2019-01-10 16:35:53.271028035,2019-01-10,2019-01-10,2019-01-10,1.0,2.63,159.19,710.0,588.0,           ,0.0,1.0,223.0
17,Luokittelemattomat,2019-01-11 06:30:16.822429904,2019-01-11,2019-01-11,2019-01-11,1.0,-58.44,100.75,0.0,162.0,           ,1.0,1.0,74.0
18,Matkailu,2019-01-11 10:19:03.925233642,2019-01-11,2019-01-11,2019-01-11,1.0,-15.64,85.11,706.0,129.0,NDEAFIHH   ,0.0,0.0,202.0
19,Ruoka_paivittaistavarakauppa,2019-01-11 14:07:51.028037380,2019-01-11,2019-01-11,2019-01-11,1.0,-8.09,77.02,0.0,162.0,           ,1.0,1.0,45.0
